SalesID,SalePrice
1222839,41754.39732792869
1222841,35087.797578101614
1222845,61207.163132109985
1222847,8338.749129590113
1222863,29915.37437085611
1222865,35470.87416237867
1222867,48473.18799653544
1222879,73911.49280317753
1222883,24867.82664260245
1222905,64540.46300702352
1222908,47717.56675272033
1222910,42468.803017022976
1222969,48473.18799653544
1222980,41754.39732792869
1222981,40643.29736962417
1222984,27694.74677812589
1222999,26582.074495942572
1223003,49584.28795483995
1223014,11067.328785589227
1223041,26582.074495942572
1223042,26582.074495942572
1223057,69467.09296995949
1223058,65022.693136741436
1223059,71689.29288656851
1223060,69467.09296995949
1223069,62824.642829804594
1223070,45139.8881216219
1223072,58380.242996586545
1223073,69467.09296995949
1223074,40643.29736962417
1223075,19312.32685107988
1223076,68355.99301165497
1223077,19312.32685107988
1223078,55046.943121673
1223079,56158.04307997752
1223080,55046.943121673
1223081,56158.04307997752
1223082,58380.242996586545
1223083,42113.32430253356
1223084,39537.94696595325
1223091,42113.32430253356
1223094,23250.34694490784
1223101,9956.228827284722
1223115,34359.77420407416
1223116,21586.71768646859
1223117,5511.828994066673
1223118,43224.424260838074
1223121,11067.328785589227
1223124,12178.428743893746
1223129,17090.126934470856
1223130,17090.126934470856
1223141,45938.07214447835
1223147,77244.79267809106
1223148,33248.674245769645
1223149,38804.17403729221
1223150,36581.97412068318
1223151,37693.074078987695
1223152,75022.59276148204
1223154,45087.69720284222
1223164,30475.517352904684
1223165,40643.29736962417
1223176,63911.59317843692
1223184,59491.34295489105
1223185,23756.72668429793
1223186,42113.32430253356
1223187,11067.328785589227
1223192,3289.6290774576482
1223193,34335.624594401976
1223195,11067.328785589227
1223198,42113.32430253356
1223211,11067.328785589227
1223212,11067.328785589227
1223217,47362.088038230926
1223229,40246.60310041395
1223244,11020.887421443142
1223245,11020.887421443142
1223246,12131.987379747647
1223252,34313.33283992806
1223269,68355.99301165497
1223270,69467.09296995949
1223271,68355.99301165497
1223272,69467.09296995949
1223273,69467.09296995949
1223289,45400.182813301
1223293,66513.42141920755
1223306,21534.526767688905
1223308,57269.143038282025
1223309,36198.89753640612
1223310,58380.242996586545
1223311,57269.143038282025
1223313,67244.89305335046
1223318,47404.65081727227
1223319,67624.52137751205
1223320,63180.121544294
1223322,47404.65081727227
1223328,4400.729035762153
1223329,40643.29736962417
1223333,43930.15588039161
1223335,23756.72668429793
1223338,11067.328785589227
1223339,30475.517352904684
1223341,46250.988079926414
1223344,57269.143038282025
1223346,9956.228827284722
1223356,34359.77420407416
1223357,45139.8881216219
1223358,37668.92446931551
1223360,62824.642829804594
1223361,33248.674245769645
1223364,71689.29288656851
1223371,18201.226892775376
1223377,11067.328785589227
1223382,45446.6241774471
1223383,47668.82409405612
1223384,37693.074078987695
1223385,37693.074078987695
1223400,42113.32430253356
1223408,62824.642829804594
1223411,5465.387629920573
1223431,13289.528702198251
1223436,23756.72668429793
1223440,13289.528702198251
1223458,32697.71726951371
1223459,29364.41739460017
1223460,31586.617311209196
1223468,44335.524219142586
1223479,33224.52463609746
1223483,40695.48828840385
1223484,15979.026976166351
1223488,12178.428743893746
1223489,37668.92446931551
1223492,47362.088038230926
1223493,71689.29288656851
1223495,9956.228827284722
1223512,36913.30322550041
1223518,47049.17210278286
1223519,42113.32430253356
1223520,11422.807500078648
1223523,66087.35173089986
1223526,23756.72668429793
1223535,68355.99301165497
1223547,61713.542871500074
1223549,24867.82664260245
1223550,11067.328785589227
1223551,12178.428743893746
1223558,33248.674245769645
1223580,22645.626725993425
1223595,59444.901590744965
1223626,11067.328785589227
1223627,12178.428743893746
1223634,44028.78816331739
1223635,32137.574287465133
1223647,34964.49442298857
1223648,7734.028910675697
1223650,46198.79716114674
1223651,70578.19292826399
1223653,21534.526767688905
1223665,40695.48828840385
1223667,75022.59276148204
1223670,23756.72668429793
1223679,33248.674245769645
1223680,32137.574287465133
1223691,11067.328785589227
1223692,11067.328785589227
1223696,55046.943121673
1223707,32493.053001954544
1223718,14756.107374992178
1223720,14756.107374992178
1223724,13645.007416687673
1223725,12533.907458383153
1223727,48473.18799653544
1223728,39584.38833009934
1223733,55000.501757526916
1223737,32137.574287465133
1223764,61713.542871500074
1223769,34359.77420407416
1223773,37622.48310516942
1223779,23756.72668429793
1223788,24867.82664260245
1223789,33248.674245769645
1223790,41002.22434422905
1223791,12178.428743893746
1223794,38780.024427620025
1223795,39891.12438592454
1223796,29915.37437085611
1223808,62824.642829804594
1223809,37622.48310516942
1223813,17090.126934470856
1223814,43224.424260838074
1223817,35802.2032671959
1223818,35802.2032671959
1223819,35802.2032671959
1223820,35802.2032671959
1223824,15979.026976166351
1223834,29915.37437085611
1223869,25978.926600906954
1223875,38733.583063473925
1223892,34359.77420407416
1223893,41754.39732792869
1223894,43470.21750514762
1223895,63429.36304871901
1223896,43470.21750514762
1223897,58380.242996586545
1223903,33248.674245769645
1223909,11067.328785589227
1223911,17786.119454195985
1223913,34313.33283992806
1223918,51469.42232632873
1223919,13289.528702198251
1223943,12178.428743893746
1223948,12533.907458383153
1223957,56158.04307997752
